;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S1p;ame_S1n;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;Difference_BE_DZ_AME;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;rescaled_ame_S1n;rescaled_ame_S1p;rescaled_ame_S2n;rescaled_ame_S2p
29;6.0;10.0;6.89816666;14.0773163;16.0;110.37066656;4.507874959999995;23.18883851;42.11748226;5.902274140000003;13.694133;6.9220546;16.014701255;110.7528736;22.5522166;4.250329599999997;40.83831140000001;5.468396399999998;;6.349604207872797;1.0;11.905507889761497;0.25;1.0;1.0;2.0;2.0;0.3822070399999973;4.0;3.84;8010.226;4.254;0.2236;3.578;106.85318049918794;0.06521114622234991;0.005727554955403461;0.05649717514124294;0.06896551724137931;1.0;0.2036337652109244;0.12350545482960973;0.05084745762711865;0.09090909090909091;1.0;0.05613250635916649;0.9342310488368644;0.9634257987651138;0.8983765429547284;0.9464409995410069
30;6.0;11.0;6.50885391;21.8688431;17.0;110.65051647;0.2798499099999958;23.69293583;44.97958272;4.787724869999991;21.03188;6.5580262000000005;17.02257865;111.4864454;23.368789399999997;0.7335717999999907;43.3718834;4.983901399999988;;6.611489018457944;1.4705882352941178;11.66733356198461;0.2425356250363329;1.0;-1.0;2.0;3.0;0.8359289299999944;5.0;18.641;13161.8007;22.9464;1.0215;17.365;107.0392656604428;0.09589874444463223;0.005612972985113765;0.06214689265536723;0.10344827586206896;0.0;0.19570793029776523;0.12955154747262904;0.05084745762711865;0.09090909090909091;1.0;0.05648279021173028;0.9243730883267364;0.9665667454000565;0.8970590352861835;0.9552512051940585
31;6.0;12.0;6.3491888;26.3053284;18.0;114.2853984;3.634881930000006;26.230467630000007;48.03208720000001;3.9147318400000017;24.919266;6.4261321;18.02675193;115.6703778;26.0860269;4.183932400000005;47.1058162;4.917504199999995;;6.868285455319991;2.0;11.44714242553332;0.2357022603955158;1.0;1.0;2.0;4.0;1.3849793999999918;6.0;32.206;11806.0982;35.2821;1.6667;30.0;105.93078333423983;0.13042229244469983;0.00550704244889514;0.06779661016949153;0.13793103448275862;1.0;0.18845211580450077;0.1354801656471466;0.05084745762711865;0.09090909090909091;1.0;0.05848063685733263;0.9340449282642213;0.9770185973132784;0.8968784785824613;0.9682355276694706
36;7.0;9.0;7.41959476;4.95211029;16.0;118.71351616;3.493555959999995;12.850724559999987;33.43795963999999;13.427935480000002;5.6839070000000005;7.3737971;16.006101925;117.9807536;11.478209599999987;2.4888491000000066;32.5577222;13.322146399999998;;6.349604207872797;0.25;16.667711045666096;0.25;-1.0;-1.0;1.0;1.0;-0.7327625599999976;2.0;2.47;10420.9094;2.3014;0.1438;2.301;120.99767489952244;0.01630278655558748;0.008018576937564846;0.05084745762711865;0.034482758620689655;0.0;0.2036337652109244;0.12350545482960973;0.059322033898305086;0.045454545454545456;0.0;0.05958385175203572;0.9292933743662595;0.9208296395225064;0.9197335762612309;0.9176462016112703
37;7.0;10.0;7.34199667;6.92305756;17.0;124.81394339;6.100427230000008;14.443276830000002;37.63211534;9.593983190000005;7.870079;7.2862294;17.008448876;123.8658998;13.113026199999991;5.885146200000003;35.665242799999994;8.37399530000001;;6.611489018457944;0.5294117647058824;16.334266986778452;0.2425356250363329;-1.0;1.0;1.0;2.0;-0.9480435900000116;3.0;16.103;8678.843;15.0;0.8824;15.0;125.70170718100856;0.0345235480000676;0.007858162179159271;0.05649717514124294;0.06896551724137931;1.0;0.19570793029776523;0.12955154747262904;0.059322033898305086;0.045454545454545456;0.0;0.062394035682002996;0.9388136668050684;0.9271179602925816;0.9062778604759936;0.9284522476036852
38;7.0;11.0;7.06477356;12.6424561;18.0;127.16592408;2.3519806899999907;16.515407609999997;40.20834343999999;8.452407919999999;13.113167;7.038562700000001;18.014077563;126.6941286;15.207683200000014;2.828228800000012;38.57647260000001;8.713375000000015;;6.868285455319991;0.8888888888888888;16.02599939574665;0.2357022603955158;-1.0;-1.0;1.0;3.0;-0.471795479999983;4.0;19.935;13895.9838;18.5695;1.0316;18.57;128.61154224822334;0.057965463308755474;0.007709859428453196;0.06214689265536723;0.10344827586206896;0.0;0.18845211580450077;0.1354801656471466;0.059322033898305086;0.045454545454545456;0.0;0.0637445277265389;0.9302447027973898;0.9351750568007058;0.9072007499945614;0.9385757148828043
39;7.0;12.0;6.94115734;15.9977722;19.0;131.88198946;4.716065380000003;17.596591059999994;43.82705869;7.068046069999994;15.856255;6.9485452;19.017022389;132.02235879999998;16.351980999999984;5.328230199999976;42.43800789999998;8.156458999999987;;7.1203673589019925;1.3157894736842106;15.73975942494125;0.2294157338705617;-1.0;1.0;1.0;4.0;0.1403693399999781;5.0;17.61;12523.3972;16.6143;0.8634;16.404;130.01730019219778;0.0858041397662499;0.007572153823753131;0.06779661016949153;0.13793103448275862;1.0;0.18177694585972828;0.14129994014754627;0.059322033898305086;0.045454545454545456;0.0;0.06628878174748509;0.9372525539142521;0.9395765973911862;0.9056863048491308;0.9520037603970104
40;7.0;13.0;6.71872807;21.5765839;20.0;134.3745614;2.492571940000005;19.53127433;45.76960190000001;7.208637320000008;21.766498;6.7091717;20.023367295;134.183434;17.936228000000003;2.1610752000000213;44.60408319999999;7.489305399999997;;7.368062997280773;1.8;15.472932294289626;0.2236067977499789;-1.0;-1.0;1.0;5.0;-0.1911273999999991;6.0;84.696;17970.3261;78.8991;3.9447;78.894;130.1506407477324;0.11738006320022985;0.007443787434973189;0.07344632768361582;0.1724137931034483;0.0;0.17560889174442326;0.14701844964629782;0.059322033898305086;0.045454545454545456;0.0;0.06732070493037745;0.9283745786043078;0.9456704022345119;0.9038720859529662;0.9595360384822575
41;7.0;14.0;6.62094688;24.9826355;21.0;139.03988448;4.665323080000007;20.06733508000002;48.60455506000001;7.157895020000012;25.231915;6.6090159;21.027087573;138.7893339;19.5606219;4.605899899999989;49.11627649999999;6.7669751000000105;;7.611662611020244;2.333333333333333;15.223325222040492;0.2182178902359924;-1.0;1.0;1.0;6.0;-0.2505505800000094;7.0;143.906;17169.8816;134.584;6.3832;134.048;129.19872886569232;0.1521593411854831;0.007323705348866325;0.0790960451977401;0.20689655172413793;1.0;0.16988683309570327;0.152642394880776;0.059322033898305086;0.045454545454545456;0.0;0.069520042965857;0.9352277617682963;0.9519186320972094;0.9019078227315247;0.9752266724643672
42;7.0;15.0;6.35538006;32.2755432;22.0;139.81836132;0.7784768399999962;21.9434205;49.99283612000001;5.443799920000004;31.764805;6.3785347;22.034100918;140.3277634;21.173763399999995;1.5384294999999983;52.21470539999999;6.144329399999988;;7.851424410539689;2.909090909090909;14.989082965575774;0.2132007163556104;-1.0;-1.0;1.0;5.0;0.509402080000001;8.0;223.06;22481.7725;215.435;9.4445;207.779;127.31438476121308;0.18970515264683613;0.007211015037020566;0.0847457627118644;0.1724137931034483;0.0;0.16455948926583405;0.15817773711354083;0.059322033898305086;0.045454545454545456;0.0;0.07025465001067223;0.9266292162360489;0.9581235796121295;0.9002146360432484;0.9860011031142003
