;Unnamed: 0;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S1p;ame_S1n;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;Difference_BE_DZ_AME;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;rescaled_ame_S1n;rescaled_ame_S1p;rescaled_ame_S2n;rescaled_ame_S2p;BE_Predictions;Difference_BE_AME_ANN;Difference_BE_DZ_ANN;Prediction_S2p;Prediction_S2n;Prediction_S1n;Difference_S2n_AME_Predictions;Difference_S2p_AME_Predictions;Difference_S2n_DZ_Predictions;Difference_S2p_DZ_Predictions
11;47;8.0;8.0;7.99398994;-5.02056122;16.0;127.90383904;16.131404289999992;12.683878839999991;23.43544662;29.960028599999987;-4.737002169999999;7.9762072;15.99491461926;127.6193152;12.127410700000008;15.6639427;22.334837999999987;28.887419;;6.349604207872797;0.0;22.2236147275548;0.25;1.0;1.0;0.0;0.0;-0.2845238399999914;0.0;0.00032;-15412.184;5.3642;0.0002;0.0003;122.946460033246;0.0;0.0106914359167531;0.0451977401129943;0.0;1.0;0.2036337652109244;0.1235054548296097;0.0677966101694915;0.0;1.0;0.0641863085128073;0.9662249914443646;0.9233267910446318;0.9620608779124152;0.8820972958887046;122.12000407728553;5.499311122714474;0.2845238399999914;;;;;;;
3;36;7.0;9.0;7.41959476;4.95211029;16.0;118.71351616;3.493555959999995;12.850724559999987;33.43795963999999;13.427935480000002;5.6839070000000005;7.3737971;16.006101925;117.9807536;11.478209599999987;2.4888491000000066;32.5577222;13.322146399999998;;6.349604207872797;0.25;16.667711045666096;0.25;-1.0;-1.0;1.0;1.0;-0.7327625599999976;2.0;2.47;10420.9094;2.3014;0.1438;2.301;120.99767489952244;0.0163027865555874;0.0080185769375648;0.0508474576271186;0.0344827586206896;0.0;0.2036337652109244;0.1235054548296097;0.059322033898305;0.0454545454545454;0.0;0.0595838517520357;0.9292933743662596;0.9208296395225064;0.9197335762612308;0.9176462016112704;122.11582242977619;-4.135068829776188;0.7327625599999976;-0.004181647509341246;;-0.004181647509341246;;32.56190384750934;;33.44214128750933
0;29;6.0;10.0;6.89816666;14.0773163;16.0;110.37066656;4.507874959999995;23.18883851;42.11748226;5.902274140000003;13.694133;6.9220546;16.014701255;110.7528736;22.5522166;4.250329599999997;40.83831140000001;5.468396399999998;;6.349604207872797;1.0;11.905507889761497;0.25;1.0;1.0;2.0;2.0;0.3822070399999973;4.0;3.84;8010.226;4.254;0.2236;3.578;106.85318049918794;0.0652111462223499;0.0057275549554034;0.0564971751412429;0.0689655172413793;1.0;0.2036337652109244;0.1235054548296097;0.0508474576271186;0.0909090909090909;1.0;0.0561325063591664;0.9342310488368644;0.9634257987651138;0.8983765429547284;0.9464409995410068;118.22464339071512;-7.471769790715115;-0.3822070399999973;-26.115699361443532;-3.895360686570413;-3.891179039061072;9.363757086570411;66.95401076144354;9.797634826570416;68.23318162144353
20;56;9.0;8.0;7.58744287;1.18577576;17.0;128.98652879;17.576860789999998;1.08268975;13.766568589999991;33.561635839999994;1.951701;7.542328400000001;17.002095237;128.2195828;0.6002676000000065;16.794798800000002;12.727678300000012;30.757687300000004;;6.611489018457944;0.0588235294117647;28.001600548763065;0.2425356250363329;-1.0;1.0;1.0;0.0;-0.7669459899999822;-1.0;0.266;-14548.7507;0.4323;0.0146;0.248;128.5272227471288;0.0038359497777852;0.013471135164273;0.0451977401129943;0.0;1.0;0.1957079302977652;0.129551547472629;0.0762711864406779;0.0454545454545454;0.0;0.0644729390069147;0.9693949381425528;0.8789876441486688;0.9671467773076337;0.8486895013998524;126.23206148254872;1.9875213174512965;0.7669459899999822;;4.116239052772528;8.0074180918336;26.641448247227476;;29.445396787227466;
12;48;8.0;9.0;7.81274414;-1.86199951;17.0;132.81665038;4.912811340000005;14.10313422;26.95385877999999;21.04421563;-0.8087642100000001;7.750729099999999;16.99913175595;131.76239470000002;13.781641100000009;4.143079500000007;25.2598507;19.80702220000001;;6.611489018457944;0.0588235294117647;21.779022649037937;0.2425356250363329;1.0;-1.0;0.0;1.0;-1.054255679999983;1.0;0.00069;-2760.4655;0.2479;0.0002;0.00064;132.8643595432372;0.0038359497777852;0.0104775495722123;0.0508474576271186;0.0344827586206896;0.0;0.1957079302977652;0.129551547472629;0.0677966101694915;0.0;1.0;0.0661646477138754;0.9339304119119936;0.929689786981185;0.937368172275763;0.8922686916196283;129.6846668343246;2.0777278656754277;1.054255679999983;3.4526053517758726;11.460023443609472;3.4526053517758726;8.346998756390537;21.80724534822413;9.584192186390528;23.501253428224118
4;37;7.0;10.0;7.34199667;6.92305756;17.0;124.81394339;6.100427230000008;14.443276830000002;37.63211534;9.593983190000005;7.870079;7.2862294;17.008448876;123.8658998;13.113026199999991;5.885146200000003;35.665242799999994;8.37399530000001;;6.611489018457944;0.5294117647058824;16.334266986778452;0.2425356250363329;-1.0;1.0;1.0;2.0;-0.9480435900000116;3.0;16.103;8678.843;15.0;0.8824;15.0;125.70170718100856;0.0345235480000676;0.0078581621791592;0.0564971751412429;0.0689655172413793;1.0;0.1957079302977652;0.129551547472629;0.059322033898305;0.0454545454545454;0.0;0.0623940356820029;0.9388136668050684;0.9271179602925816;0.9062778604759936;0.9284522476036852;126.81106363096833;-2.9451638309683403;0.9480435900000117;-21.68708499845863;0.5790021484196188;-2.8736032033562537;7.794993151580391;57.352327798458624;9.014981041580386;59.31920033845863
1;30;6.0;11.0;6.50885391;21.8688431;17.0;110.65051647;0.2798499099999958;23.69293583;44.97958272;4.787724869999991;21.03188;6.5580262000000005;17.02257865;111.4864454;23.3687894;0.7335717999999907;43.3718834;4.983901399999988;;6.611489018457944;1.4705882352941178;11.66733356198461;0.2425356250363329;1.0;-1.0;2.0;3.0;0.8359289299999944;5.0;18.641;13161.8007;22.9464;1.0215;17.365;107.0392656604428;0.0958987444446322;0.0056129729851137;0.0621468926553672;0.1034482758620689;0.0;0.1957079302977652;0.129551547472629;0.0508474576271186;0.0909090909090909;1.0;0.0564827902117302;0.9243730883267364;0.9665667454000564;0.8970590352861835;0.9552512051940584;118.22464339071512;-6.738197990715122;-0.8359289299999944;-51.726730039894576;-11.460023443609472;-8.586420240253219;16.44392484360946;95.09861343989458;16.247748313609463;96.70631275989459
21;57;9.0;9.0;7.75390863;-1.32667542;18.0;139.57035534;10.583826549999998;6.753704959999993;20.856839179999994;28.16068734;0.873112;7.6316383;18.000937324;137.3694894;5.607094699999987;9.149906599999987;19.3887358;25.9447054;;6.868285455319991;0.0;27.473141821279967;0.2357022603955158;-1.0;-1.0;1.0;1.0;-2.20086594;0.0;0.497;-4444.5049;0.5888;0.0257;0.463;141.3306617554044;0.0;0.0132169018773483;0.0508474576271186;0.0344827586206896;0.0;0.1884521158045007;0.1354801656471466;0.0762711864406779;0.0454545454545454;0.0;0.0688420607949208;0.9479652436063566;0.8982464006630724;0.9540586328235472;0.8718525638436283;134.88208021253348;2.487409187466511;2.20086594;12.766257782757293;8.071016581565146;16.657436821818365;17.873688818434854;6.622478017242706;20.089670758434853;8.090581397242701
13;49;8.0;10.0;7.83562803;-2.01527405;18.0;141.04130454;8.22465416;16.227361149999993;30.670637979999995;13.137465500000005;-0.78281634;7.7670981;17.99915961214;139.8077658;15.941865999999994;8.04537109999999;29.054892199999987;12.188450599999996;;6.868285455319991;0.2222222222222222;21.367999194328863;0.2357022603955158;1.0;1.0;0.0;2.0;-1.2335387400000002;2.0;0.00069;-1655.9288;0.4633;0.0002;0.00064;140.4115017219449;0.0144913658271888;0.0102798125712709;0.0564971751412429;0.0689655172413793;1.0;0.1884521158045007;0.1354801656471466;0.0677966101694915;0.0;1.0;0.070006348804639;0.944869077205294;0.9379990903652486;0.916650669502034;0.9054655125810478;135.44329475587605;4.364471044123945;1.2335387400000002;17.218651365160937;17.218651365160937;0.5612145433425724;-5.0302007651609415;11.83624083483905;-4.081185865160933;13.451986614839058
5;38;7.0;11.0;7.06477356;12.6424561;18.0;127.16592408;2.3519806899999907;16.515407609999997;40.20834343999999;8.452407919999999;13.113167;7.038562700000001;18.014077563;126.6941286;15.207683200000014;2.828228800000012;38.57647260000001;8.713375000000015;;6.868285455319991;0.8888888888888888;16.02599939574665;0.2357022603955158;-1.0;-1.0;1.0;3.0;-0.471795479999983;4.0;19.935;13895.9838;18.5695;1.0316;18.57;128.61154224822334;0.0579654633087554;0.0077098594284531;0.0621468926553672;0.1034482758620689;0.0;0.1884521158045007;0.1354801656471466;0.059322033898305;0.0454545454545454;0.0;0.0637445277265389;0.9302447027973898;0.9351750568007058;0.9072007499945614;0.9385757148828044;130.01832485798002;-3.32419625798002;0.47179547999999727;-42.06699946802854;-4.8637553545534615;-5.424969897896034;13.577130354553477;80.64347206802856;13.31616327455346;82.27534290802853
