Z;N;dz_BE/A;dz_ME
0;1;311.628937;-303.557556
0;2;27.0021000;-37.8614426
0;3;3.51629901;13.6652412
0;7;0.879092336;50.3460083
0;8;0.652433634;59.3515701
0;9;0.583084345;67.3946609
0;10;0.352350384;77.1902924
0;11;0.167096660;86.9471130
0;12;0.128013849;95.3203888
0;13;0.281234413;101.271889
0;14;0.644156873;103.981117
0;15;0.843308151;108.421074
0;16;0.713301182;117.729256
0;17;0.390654624;130.572327
1;0;311.628937;-304.339905
1;1;1.92253888;11.5153322
1;2;5.24371147;7.70065498
1;3;3.92344832;15.8093748
1;4;2.61833620;26.4828644
1;5;2.13183403;34.8549232
1;6;1.85942137;42.7013588
1;7;1.93828487;48.2824097
1;8;1.15622675;61.4540291
1;9;0.951218009;70.4192657
1;10;0.292512715;84.7851868
1;11;0.186107114;93.8409271
1;15;9.57160890E-02;126.828270
2;0;26.7063694;-38.8346786
2;1;5.11084414;7.31690788
2;2;6.54712152;4.53233337
2;3;5.30607891;12.2618046
2;4;4.92667341;17.3035374
2;5;3.96913290;27.1510296
2;6;3.98750067;31.1063309
2;7;3.41870356;40.3093796
2;8;3.02622509;48.8868408
2;9;2.37502313;61.0952225
2;10;1.99605942;71.3391418
2;11;1.51526773;83.6647568
2;12;1.30463219;93.1697693
2;13;1.08364236;103.251358
2;14;1.11373591;109.757599
2;15;0.934454322;119.763031
2;16;0.753925025;130.149490
2;17;0.438989431;143.450714
2;18;0.168185860;156.499176
3;0;2.75872040;13.5909290
3;1;3.51046538;15.8966074
3;2;5.08167171;12.6014919
3;3;5.42123413;13.5538254
3;4;5.64216375;14.6574631
3;5;5.09164381;21.4908409
3;6;5.11422443;24.2673454
3;7;4.70084715;31.3582726
3;8;4.28000259;39.3580971
3;9;3.77378011;49.2241440
3;10;3.30170178;59.6587639
3;11;2.92643023;69.6822433
3;12;2.57615423;80.0813293
3;13;2.40066481;88.3843842
3;14;2.23852491;96.8114853
3;15;2.08312178;105.441597
3;16;1.76514435;117.471428
3;17;1.52882123;128.504120
3;18;1.16415083;142.704773
3;19;0.918833971;155.008972
3;20;0.567883372;170.233368
3;21;0.349118441;182.987228
3;22;3.52619365E-02;198.555908
4;1;1.89266491;27.7641754
4;2;4.44675303;18.6183643
4;3;5.40289307;15.5500069
4;4;6.63648987;8.34972000
4;5;6.23748016;13.3756943
4;6;6.46598577;12.9245377
4;7;6.00172424;19.6368103
4;8;5.78316689;24.3291550
4;9;5.18930626;34.3375549
4;10;4.87522745;41.6167374
4;11;4.37806225;52.2703629
4;12;4.14083195;59.7593613
4;13;3.80657744;69.3722305
4;14;3.70721483;75.4255600
4;15;3.38443995;85.9224472
4;16;3.14735794;95.3510284
4;17;2.78421950;107.900955
4;18;2.51455164;119.120811
4;19;2.16209555;132.784134
4;20;1.90494728;144.864975
4;21;1.57853091;159.191818
4;22;1.34170258;171.842209
4;23;1.06976831;185.914108
4;24;0.886688590;198.041946
4;25;0.683508396;211.118866
4;26;0.565676808;222.041687
4;27;0.438442230;233.491669
4;28;0.392515600;242.594254
4;29;0.231472194;255.587555
4;30;8.32007527E-02;268.468689
5;1;1.08531487;38.0046425
5;2;3.21901846;30.0547848
5;3;4.60378790;23.8289871
5;4;5.99656916;14.7615433
5;5;6.46290731;12.1729736
5;6;6.89515066;9.02677155
5;7;6.63450575;13.3307419
5;8;6.52292347;16.2181854
5;9;6.09111118;23.8120117
5;10;5.81212187;29.9771194
5;11;5.43484879;38.2727509
5;12;5.17970181;45.2467651
5;13;4.92249775;52.7681198
5;14;4.75975418;59.0091324
5;15;4.49127626;67.6903152
5;16;4.19658375;77.4589615
5;17;3.89993215;87.8600922
5;18;3.58073783;99.3730087
5;19;3.29617786;110.693092
5;20;2.99018168;123.118202
5;21;2.72118497;135.193314
5;22;2.42741513;148.475296
5;23;2.20544195;160.334503
5;24;1.95992422;173.320465
5;25;1.79654360;184.333344
5;26;1.60937428;196.410431
5;27;1.51085293;206.025116
5;28;1.38815010;216.634827
5;29;1.25169861;227.957413
5;30;1.03779542;242.263702
5;31;0.869951189;255.339691
5;32;0.632857323;271.313599
5;33;0.450173527;285.694092
5;34;0.204817623;302.884186
5;35;1.98449139E-02;318.149658
6;1;0.493188530;48.3532410
6;2;2.96069193;36.1914024
6;3;4.37235069;28.5971642
6;4;5.98236752;16.1960220
6;5;6.65679884;10.8662949
6;6;7.62758875;0.631393433
6;7;7.43954420;3.51976776
6;8;7.46202803;3.83683014
6;9;7.05751944;10.5138092
6;10;6.89816666;14.0773163
6;11;6.50885391;21.8688431
6;12;6.34918880;26.3053284
6;13;6.04438353;33.8188248
6;14;5.94862747;37.7609406
6;15;5.61309242;46.9299316
6;16;5.38717318;54.3584442
6;17;5.03126669;65.2284927
6;18;4.78348970;74.2152557
6;19;4.44200850;86.0401764
6;20;4.20431423;95.8496094
6;21;3.87313509;108.658508
6;22;3.63847971;119.427101
6;23;3.35252953;132.152557
6;24;3.15792871;142.709412
6;25;2.92618060;154.807068
6;26;2.78060675;164.610626
6;27;2.60856414;175.578827
6;28;2.51767659;184.131805
6;29;2.30688238;197.063324
6;30;2.12846351;209.250885
6;31;1.89745617;223.741089
6;32;1.70099545;237.380524
6;33;1.46280336;253.040390
6;34;1.26038003;267.745911
6;35;1.02493417;284.210175
6;36;0.825808406;299.619904
6;37;0.600670874;316.546387
6;38;0.411915004;332.322357
6;39;0.202834383;349.390472
6;40;2.98430119E-02;365.216614
7;1;0.257330835;57.0359421
7;2;2.11320233;48.1471481
7;3;3.70219541;38.2153969
7;4;5.27419758;25.2925568
7;5;6.15907097;17.4712601
7;6;7.20522213;5.78359985
7;7;7.52039862;2.23728180
7;8;7.68133068;0.374282837
7;9;7.41959476;4.95211029
7;10;7.34199667;6.92305756
7;11;7.06477356;12.6424561
7;12;6.94115734;15.9977722
7;13;6.71872807;21.5765839
7;14;6.62094688;24.9826355
7;15;6.35538006;32.2755432
7;16;6.12449503;39.3018951
7;17;5.83739233;48.1392517
7;18;5.57917118;56.8287659
7;19;5.30190563;66.5298767
7;20;5.04709435;76.1792603
7;21;4.77284002;86.8826599
7;22;4.51212406;97.7419739
7;23;4.27403259;108.443970
7;24;4.04583549;119.315414
7;25;3.85330629;129.501892
7;26;3.66654563;139.883087
7;27;3.52479911;149.107269
7;28;3.38529086;158.536682
7;29;3.20463371;169.726379
7;30;2.98595428;182.684296
7;31;2.78921676;195.245728
7;32;2.55719280;209.576843
7;33;2.35516858;223.171982
7;34;2.12000632;238.529877
7;35;1.92096889;252.840790
7;36;1.69051170;268.900879
7;37;1.50082052;283.628143
7;38;1.28110886;300.085754
7;39;1.10563159;314.947968
7;40;0.901294410;331.517578
7;41;0.739869833;346.436005
7;42;0.550810337;363.031464
7;43;0.411626011;377.511230
7;44;0.246464446;393.594238
7;45;0.132279158;407.356781
8;2;1.44262528;60.0287476
8;3;3.02364945;49.2662392
8;4;4.81124640;32.8628082
8;5;5.81126642;23.1226807
8;6;6.99598646;8.79670715
8;7;7.45149565;3.03945923
8;8;7.99398994;-5.02056122
8;9;7.81274414;-1.86199951
8;10;7.83562803;-2.01527405
8;11;7.59940529;2.70870972
8;12;7.56103277;3.94813538
8;13;7.34689617;8.95535278
8;14;7.31554604;10.3695374
8;15;7.04261446;17.4028015
8;16;6.88079071;22.3153381
8;17;6.58122540;30.9950562
8;18;6.38972759;37.4641571
8;19;6.09426355;47.1233368
8;20;5.90138865;54.5009613
8;21;5.60258436;65.3362732
8;22;5.39665079;73.9830780
8;23;5.12707663;85.0146027
8;24;4.94651699;93.7368011
8;25;4.71619368;104.462357
8;26;4.56942797;112.807541
8;27;4.38365412;122.811600
8;28;4.27632809;130.363037
8;29;4.05256748;142.437271
8;30;3.87066340;153.368408
8;31;3.63531923;166.747574
8;32;3.44177198;178.925491
8;33;3.20408559;193.300278
8;34;3.00767183;206.416931
8;35;2.77469897;221.498489
8;36;2.58220530;235.264862
