Z,N,BE/A_DZ10,MassExcess_DZ10,A,BE,S1n,S1p,S2p,S2n,MassExcess_AME,BE/A_AME,Atomic_Mass,diff
6,10,6.89816666,14.0773163,16,110.37066656,4.507874959999995,23.188838509999997,42.11748226,5.902274140000003,13.694132999999999,6.9220546,16.014701255,-0.02388793999999983
7,9,7.41959476,4.95211029,16,118.71351616,3.493555959999995,12.850724559999989,33.43795963999999,13.427935480000002,5.6839070000000005,7.3737971,16.006101925,0.04579765999999985
8,8,7.99398994,-5.02056122,16,127.90383904,16.131404289999992,12.683878839999991,23.435446619999993,29.960028599999987,-4.737002169999999,7.9762072,15.99491461926,0.017782739999999464
5,12,5.17970181,45.2467651,17,88.05493077,1.0973501299999953,21.80161957,49.412617319999995,0.8731027199999915,43.716322,5.2696677,17.046931399,-0.08996589000000021
9,8,7.58744287,1.18577576,17,128.98652879,17.576860789999998,1.0826897500000001,13.766568589999991,33.561635839999994,1.9517010000000001,7.542328400000001,17.002095237,0.045114469999999685
6,11,6.50885391,21.8688431,17,110.65051647,0.2798499099999958,23.692935829999996,44.979582719999996,4.787724869999991,21.03188,6.5580262000000005,17.02257865,-0.04917229000000045
8,9,7.81274414,-1.86199951,17,132.81665038,4.912811340000005,14.103134220000001,26.95385877999999,21.044215629999997,-0.8087642100000001,7.750729099999999,16.99913175595,0.06201504000000124
7,10,7.34199667,6.92305756,17,124.81394339,6.100427230000008,14.443276830000002,37.63211534,9.593983190000003,7.870079,7.2862294,17.008448876,0.05576727000000048
9,9,7.75390863,-1.32667542,18,139.57035534,10.583826549999998,6.753704959999993,20.856839179999994,28.160687339999996,0.873112,7.6316383,18.000937324,0.1222703300000001
8,10,7.83562803,-2.01527405,18,141.04130454,8.22465416,16.227361149999993,30.670637979999995,13.137465500000005,-0.78281634,7.7670981,17.99915961214,0.06852992999999952
5,13,4.92249775,52.7681198,18,88.60495949999999,0.550028729999994,23.893143019999997,50.194322539999995,1.6473788599999892,51.79264,4.9766306,18.055601683,-0.05413285000000023
7,11,7.06477356,12.6424561,18,127.16592408,2.3519806899999907,16.515407609999997,40.20834343999999,8.452407919999999,13.113166999999999,7.038562700000001,18.014077563,0.02621085999999906
6,12,6.3491888,26.3053284,18,114.2853984,3.634881930000006,26.230467630000007,48.03208720000001,3.9147318400000017,24.919266,6.4261321,18.02675193,-0.07694329999999994
9,10,7.87520552,-3.31384277,19,149.62890488,10.058549540000001,8.587600339999995,24.814961489999988,20.64237609,-1.48744512,7.7790192,18.99840316207,0.09618632000000016
5,14,4.75975418,59.0091324,19,90.43532942,1.8303699200000096,23.70546248000001,52.38040595,2.3803986500000036,59.770250999999995,4.7196346,19.064166,0.04011957999999982
6,13,6.04438353,33.8188248,19,114.84328707,0.557888669999997,26.23832757000001,50.131470590000006,4.192770600000003,32.413754,6.118274,19.034797594,-0.07389047000000026
8,11,7.59940529,2.70870972,19,144.38870051,3.347395970000008,17.22277643000001,33.73818404000001,11.572050130000008,3.3328580000000003,7.5664952,19.003577969,0.03291008999999967
7,12,6.94115734,15.9977722,19,131.88198946,4.716065380000003,17.596591059999994,43.82705869,7.068046069999994,15.856254999999999,6.9485452,19.017022389,-0.007387859999999691
7,13,6.71872807,21.5765839,20,134.3745614,2.492571940000005,19.531274330000002,45.76960190000001,7.208637320000008,21.766498,6.7091717,20.023367295,0.009556370000000314
11,9,7.29923105,6.83712769,20,145.984621,14.258606909999997,0.5527085800000009,6.414265660000012,35.072600260000016,6.850489,7.2985028000000005,20.007354301,0.0007282499999998748
8,12,7.56103277,3.94813538,20,151.2206554,6.831954889999992,19.33866594,36.93525699999999,10.17935086,3.796172,7.5685707,20.004075357,-0.007537930000000692
6,14,5.94862747,37.7609406,20,118.97254939999999,4.129262329999989,28.53721997999999,52.24268246,4.687150999999986,37.503567000000004,5.9614356,20.040261732,-0.012808129999999807
12,8,6.67751837,18.4890289,20,133.5503674,23.016007869999996,1.8243533099999922,0.5588227000000074,44.041748139999996,17.477694,6.7280252,20.018763075,-0.05050683000000067
9,11,7.73759747,-0.365509033,20,154.7519494,5.123044520000008,10.363248889999994,27.586025320000005,15.181594060000009,-0.017463,7.7201351,19.999981252,0.017462369999999616
11,10,7.7463541,-1.78030396,21,162.6734361,16.6888151,1.8181808999999873,13.04453122000001,30.947422009999997,-2.184857,7.7655581,20.997654459,-0.01920400000000022
12,9,7.10688543,10.8661804,21,149.24459403,15.694226630000003,3.2599730299999976,3.8126816099999985,38.7102345,10.903851000000001,7.1050317,21.011705764,0.001853730000000553
9,12,7.75997353,-0.501617432,21,162.95944413,8.207494730000008,11.73878873000001,31.07745467000001,13.330539250000015,-0.047604999999999995,7.7382934,20.999948893,0.02168013000000002
8,13,7.34689617,8.95535278,21,154.28481957,3.064164169999998,19.91025816999999,39.441532499999994,9.89611905999999,8.062033999999999,7.3893747,21.008654948,-0.04247853000000035
7,14,6.62094688,24.9826355,21,139.03988448,4.665323080000007,20.06733508000002,48.60455506000001,7.157895020000012,25.231915,6.6090159,21.027087573,0.011930979999999813
8,14,7.31554604,10.3695374,22,160.94201288,6.657193309999997,21.90212839999998,41.96946348,9.721357479999995,9.283031999999999,7.3648722,22.009965744,-0.049326159999999675
9,13,7.62436199,2.79324341,22,167.73596378,4.776519649999983,13.451144209999995,33.36140237999999,12.98401437999999,2.7933760000000003,7.6242954,22.002998812,6.658999999942239e-05
7,15,6.35538006,32.2755432,22,139.81836132,0.7784768399999962,21.943420500000002,49.99283612000001,5.443799920000004,31.764805,6.3785347,22.034100918,-0.023154640000000448
12,10,7.62406158,0.452804565,22,167.72935476,18.484760730000005,5.055918660000003,6.874099559999991,34.17898736000001,-0.399986,7.662764500000001,21.999570597,-0.03870292000000042
11,11,7.90865135,-5.02581787,22,173.99032970000002,11.316893600000014,6.766452320000013,19.238380300000017,28.005708700000014,-5.181391,7.9156624,21.994437547,-0.007011050000000019
8,15,7.04261446,17.4028015,23,161.98013258,1.03811970000001,22.161771259999995,44.10519176,7.695313010000007,14.621371,7.1634856,23.015696686,-0.12087113999999932
12,11,7.85286236,-4.36228943,23,180.61583428,12.886479519999995,6.625504579999983,13.391956899999997,31.37124025,-5.473675,7.901122900000001,22.994123768,-0.04826054000000113
11,12,8.06556988,-8.47221375,23,185.50810724,11.517777539999969,8.318367919999986,22.54866310999998,22.834671139999983,-9.529853520000001,8.1114936,22.98976928195,-0.045923719999999335
13,10,7.30980396,7.34570312,23,168.12549108,19.4308518,0.39613631999998233,5.452054979999986,36.91324236,6.7480709999999995,7.3357275,23.007244351,-0.025923539999999967
7,16,6.12449503,39.3018951,23,140.86338569,1.045024369999993,22.345575730000007,52.73512694,1.8235012099999892,36.720428999999996,6.2366721,23.039421,-0.11217706999999955
14,9,6.54660749,24.1168671,23,150.57197227,18.498382050000004,1.8773329900000135,1.3273782400000016,44.294810229999996,23.95,6.554,23.025711,-0.007392509999999852
9,14,7.62257719,3.28131104,23,175.31927537,7.583311590000022,14.377262490000021,36.27939089,12.359831240000005,3.285263,7.622344699999999,23.003526875,0.00023249000000102882
11,13,8.02840996,-7.5745697,24,192.68183904,7.173731800000013,9.822795439999993,24.945875260000008,18.691509339999982,-8.417901,8.0634882,23.990963012,-0.035078240000000704
14,10,7.15810776,10.9656372,24,171.79458624,21.222613969999998,3.669095160000012,4.065231479999994,39.72099602,10.745186,7.1672329,24.01153543,-0.009125140000000087
8,16,6.88079071,22.3153381,24,165.13897704000001,3.1588444600000116,24.275591350000013,46.62116708000002,4.196964160000022,18.500404,7.039685499999999,24.019861,-0.15889478999999884
13,11,7.60624647,0.992660522,24,182.54991528,14.424424200000004,1.934080999999992,8.559585579999975,33.855276,-0.048811999999999994,7.6495806,23.999947598,-0.04333412999999986
9,15,7.42015696,8.5881958,24,178.08376704,2.764491669999984,16.103634459999995,38.26540571999999,10.347803260000006,7.544516,7.4635831,24.00809937,-0.043426140000000224
12,12,8.20148849,-12.5108032,24,196.83572375999998,16.219889479999978,11.327616519999992,19.645984439999978,29.106368999999972,-13.933577999999999,8.260710300000001,23.985041689,-0.05922181000000215
13,12,7.99469233,-8.25335693,25,199.86730825,17.317392970000014,3.0315844900000286,14.359201010000021,31.74181717000002,-8.915974,8.0211366,24.990428308,-0.026444269999999825
14,11,7.49795389,3.38275146,25,187.44884725,15.654261009999999,4.898931970000007,6.833012969999999,36.87687498,3.827322,7.4801109,25.004108798,0.017842990000000114
9,16,7.28081226,12.7230377,25,182.0203065,3.936539460000006,16.88132945999999,41.15692081,6.70103112999999,11.334166999999999,7.3363065,25.012167727,-0.055494239999999806
12,13,8.20364475,-12.6948242,25,205.09111875000002,8.255394990000042,12.409279710000021,22.232075150000014,24.47528447000002,-13.192782,8.2235028,24.985836966,-0.01985804999999985
11,14,8.12685871,-9.99282837,25,203.17146775,10.489628710000005,11.004864550000008,27.85219237999999,17.663360510000018,-9.357814000000001,8.1013979,24.989953974,0.025460810000000222
12,14,8.34830856,-16.5883331,26,217.05602255999997,11.964903809999953,13.884554809999969,24.889419359999977,20.220298799999995,-16.214544,8.3338711,25.982592972,0.014437459999999902
14,12,7.93352509,-7.36868286,26,206.27165234,18.822805090000003,6.404344089999995,9.435928580000024,34.4770661,-7.1410029999999995,7.9247083,25.992333818,0.008816790000000019
13,13,8.17245197,-12.7984161,26,212.48375122,12.61644296999998,7.392632469999967,19.801912179999988,29.933835939999994,-12.210139,8.1497653,25.986891876,0.0226866699999988
9,17,7.04765368,19.5757294,26,183.23899568,1.2186891799999842,18.70836068,43.141579759999985,5.15522863999999,18.674654999999998,7.0822497,26.020048065,-0.034596020000000394
8,18,6.38972759,37.4641571,26,166.13291734,1.6022823400000163,26.653637839999988,51.32916454000002,0.9939402999999913,34.661041,6.497479,26.037210155,-0.10775141000000055
11,15,8.0009594,-6.77490234,26,208.02494439999998,4.853476649999976,12.490488650000003,29.941177359999983,15.343105359999981,-6.86078,8.0042013,25.992634649,-0.003241900000000797
11,16,7.95282555,-5.40487671,27,214.72628985,6.701345450000019,13.443585369999994,32.70598335,11.554822099999996,-5.517791,7.9569467000000005,26.994076408,-0.004121150000000462
13,14,8.36168766,-18.0088501,27,225.76556681999998,13.281815599999987,8.709544260000001,22.59409906999997,25.898258569999967,-17.196864,8.3315533,26.981538408,0.030134359999999916
9,18,6.86918116,25.4182129,27,185.46789132,2.228895640000019,19.33497398,45.98861181999999,3.447584820000003,25.133478,6.8796662,27.026981897,-0.010485039999999834
14,13,8.15627289,-13.2450104,27,220.21936803,13.947715689999995,7.7356168100000104,15.128249279999977,32.77052078,-12.384504999999999,8.124342,26.986704687,0.031930889999999934
