;N-Z;N;Z;A;Mass_excess;ME_unc;BE/A;BE/A_unc;Beta_decay_Energy;BDE_unc;Atomic_Mass;AM_unc;S2n;S2z
0;1.0;1.0;0.0;1.0;8071.31806;0.00044;0.0;0.0;782.347;0.0004;1.0086649159;0.00047;0.0;0.0
1;-1.0;0.0;1.0;1.0;7288.971064;1.3e-05;0.0;0.0;0.0;0.0;1.007825031898;1.4e-05;0.0;0.0
2;0.0;1.0;1.0;2.0;13135.722895;1.5e-05;1112.2831;0.0002;0.0;0.0;2.014101777844;1.5e-05;0.0;0.0
3;1.0;2.0;1.0;3.0;14949.8109;8e-05;2827.2654;0.0003;18.59202;6e-05;3.01604928132;8e-05;8481.7962;0.0
4;-1.0;1.0;2.0;3.0;14931.21888;6e-05;2572.68044;0.00015;-13736.0;2000.0;3.01602932197;6e-05;0.0;7718.04132
5;-3.0;0.0;3.0;3.0;28667.0;2000.0;-2267.0;667.0;0.0;0.0;3.030775;2147.0;0.0;-6801.0
6;2.0;3.0;1.0;4.0;24621.129;100.0;1720.4491;25.0;22196.2131;100.0;4.026431867;107.354;2432.6639999999998;0.0
7;0.0;2.0;2.0;4.0;2424.91587;0.00015;7073.9156;0.0002;-22898.274;212.132;4.00260325413;0.00016;0.0;0.0
8;-2.0;1.0;3.0;4.0;25323.19;212.132;1153.7603;53.033;0.0;0.0;4.027185561;227.733;0.0;165.90879999999925
9;3.0;4.0;1.0;5.0;32892.447;89.443;1336.3592;17.8885;21661.2131;91.6515;5.035311492;96.02;-7454.531000000001;0.0
10;1.0;3.0;2.0;5.0;11231.234;20.0;5512.1325;4.0;-447.6529;53.8516;5.012057224;21.47;14697.260299999998;0.0
11;-1.0;2.0;3.0;5.0;11678.887;50.0;5266.1325;10.0;-25460.0;2003.0;5.0125378;53.677;37665.6625;12194.335499999997
12;-3.0;1.0;4.0;5.0;37139.0;2003.0;18.0;401.0;0.0;0.0;5.03987;2150.0;0.0;-12773.4022
13;4.0;5.0;1.0;6.0;41875.725;254.127;961.6395;42.3545;24283.6294;254.1268;6.044955437;272.816;-4552.8576;0.0
14;2.0;4.0;2.0;6.0;17592.095;0.053;4878.5199;0.0089;3505.2147;0.0532;6.018885889;0.057;-13172.3742;0.0
15;0.0;3.0;3.0;6.0;14086.88044;0.00144;5332.3312;0.0003;-4288.1534;5.4478;6.01512288742;0.00155;25071.4254;21671.2926
16;-2.0;2.0;4.0;6.0;18375.034;5.448;4487.2478;0.908;-28945.0;2003.0;6.019726409;5.848;0.0;-15520.006800000001
17;-4.0;1.0;5.0;6.0;47320.0;2003.0;-467.0;334.0;0.0;0.0;6.0508;2150.0;0.0;-9724.5618
18;5.0;6.0;1.0;7.0;49135.0;1004.0;940.0;143.0;23062.0;1004.0;7.052749;1078.0;-2774.514400000001;0.0
19;3.0;5.0;2.0;7.0;26073.128;7.559;4123.0578;1.0799;11166.0229;7.5595;7.027990652;8.115;-9723.5229;0.0
20;1.0;4.0;3.0;7.0;14907.10463;0.00419;5606.4401;0.0006;-861.893;0.0707;7.01600343426;0.0045;2382.1532000000007;29890.5663
21;-1.0;3.0;4.0;7.0;15768.998;0.071;5371.5487;0.0101;-11907.5551;25.1504;7.016928714;0.076;37474.8409;-984.086599999996
22;-3.0;2.0;5.0;7.0;27676.553;25.15;3558.7055;3.5929;0.0;0.0;7.029712;27.0;0.0;-11951.988999999998
23;4.0;6.0;2.0;8.0;31609.683;0.089;3924.521;0.0111;10663.8784;0.1005;8.033934388;0.095;-7631.9912;0.0
24;2.0;5.0;3.0;8.0;20945.805;0.047;5159.7124;0.0059;16004.1329;0.0591;8.022486244;0.05;-1380.9503999999943;33584.5832
25;0.0;4.0;4.0;8.0;4941.672;0.035;7062.4356;0.0044;-17979.8973;1.0005;8.005305102;0.037;20601.502399999998;17471.325599999996
26;-2.0;3.0;5.0;8.0;22921.569;1.0;4717.1551;0.125;-12142.7002;18.2704;8.024607315;1.073;41473.2408;-4921.408799999997
27;-4.0;2.0;6.0;8.0;35064.269;18.243;3101.5242;2.2804;0.0;0.0;8.037643039;19.584;0.0;-11085.788800000002
28;5.0;7.0;2.0;9.0;40935.826;46.816;3349.038;5.2018;15980.9213;46.8169;9.043946414;50.259;-6966.178199999997;0.0
29;3.0;6.0;3.0;9.0;24954.905;0.186;5037.7685;0.0207;13606.4541;0.2014;9.026790191;0.2;-5118.044399999997;36879.9165
30;1.0;5.0;4.0;9.0;11348.451;0.076;6462.6693;0.0085;-1068.0349;0.8994;9.012183062;0.082;9820.085399999993;21056.5035
31;-1.0;4.0;5.0;9.0;12416.486;0.903;6257.0713;0.1003;-16494.4854;2.3195;9.013329645;0.969;24285.292199999996;5855.680799999998
32;-3.0;3.0;6.0;9.0;28910.971;2.137;4337.4233;0.2374;0.0;0.0;9.031037202;2.293;0.0;-9307.1286
33;6.0;8.0;2.0;10.0;49197.147;92.848;2995.134;9.2848;16144.5191;93.7152;10.052815306;99.676;-9293.870000000003;0.0
34;4.0;7.0;3.0;10.0;33052.628;12.721;4531.3512;1.2721;20445.1411;12.7216;10.035483453;13.656;-6283.612000000003;0.0
35;2.0;6.0;4.0;10.0;12607.487;0.081;6497.6306;0.0081;556.8759;0.0822;10.013534692;0.086;-5648.049999999994;25731.096
36;0.0;5.0;5.0;10.0;12050.611;0.015;6475.0835;0.0015;-3648.0623;0.0687;10.012936862;0.016;17579.284;13153.710999999994
37;-2.0;4.0;6.0;10.0;15698.673;0.07;6032.0426;0.007;-23101.3545;400.0;10.016853217;0.075;29305.184;-10303.93
38;-4.0;3.0;7.0;10.0;38800.027;400.0;3643.6724;40.0;0.0;0.0;10.04165354;429.417;0.0;-10734.827000000001
39;5.0;8.0;3.0;11.0;40728.259;0.615;4155.3817;0.0559;20551.0898;0.6591;11.043723581;0.66;-9706.254800000002;0.0
